# reading -> cuneiform codepoint, learned from lines where the codepoint
# count equals the sign count. Generated by programs/learn_signmap.py.
# reading	cuneiform	confidence	top_obs	total_obs	unicode_name
GAŠAN	𒃽	1.000	226	226	CUNEIFORM SIGN GASHAN
MI	𒈪	1.000	223	223	CUNEIFORM SIGN MI
ŠAḪ	𒋚	0.996	222	223	CUNEIFORM SIGN SHUBUR
TI₈	𒀉	1.000	223	223	CUNEIFORM SIGN A2
SÚ	𒍪	1.000	222	222	CUNEIFORM SIGN ZU
ḪAR	𒄯	1.000	221	221	CUNEIFORM SIGN HI TIMES ASH2
Ḫa	𒄩	1.000	216	216	CUNEIFORM SIGN HA
tup	𒁾	0.995	214	215	CUNEIFORM SIGN DUB
ḪAL	𒄬	1.000	214	214	CUNEIFORM SIGN HAL
SA₂₀	𒊭	1.000	214	214	CUNEIFORM SIGN SHA
BAD	𒁁	0.995	210	211	CUNEIFORM SIGN BAD
ed	𒀉	0.995	209	210	CUNEIFORM SIGN A2
tum	𒌈	1.000	209	209	CUNEIFORM SIGN TUM
BÁN	𒑏	1.000	209	209	CUNEIFORM NUMERIC SIGN ONE BAN2
ZÍZ	𒀾	1.000	208	208	CUNEIFORM SIGN ASH2
F	𒊩	1.000	208	208	CUNEIFORM SIGN SAL
AMA	𒂼	1.000	206	206	CUNEIFORM SIGN GA2 TIMES AN
DUM	𒌈	1.000	206	206	CUNEIFORM SIGN TUM
ag	𒀝	1.000	205	205	CUNEIFORM SIGN AK
pít	𒁁	0.995	202	203	CUNEIFORM SIGN BAD
dan	𒆗	1.000	203	203	CUNEIFORM SIGN KAL
ZU	𒍪	0.995	201	202	CUNEIFORM SIGN ZU
INA	𒀸	0.995	201	202	CUNEIFORM SIGN ASH
LÁ	𒇲	0.995	199	200	CUNEIFORM SIGN LAL
8	𒐍	1.000	199	199	CUNEIFORM NUMERIC SIGN EIGHT DISH
LÍ	𒉌	1.000	199	199	CUNEIFORM SIGN NI
ŠAR	𒊬	1.000	193	193	CUNEIFORM SIGN SAR
šur	𒋩	0.995	187	188	CUNEIFORM SIGN SUR
UGULA	𒉺	0.995	184	185	CUNEIFORM SIGN PA
LI	𒇷	0.995	184	185	CUNEIFORM SIGN LI
U	𒌋	0.978	180	184	CUNEIFORM SIGN U
IMIN	𒐌	1.000	184	184	CUNEIFORM NUMERIC SIGN SEVEN DISH
ḪÁD	𒌓	1.000	183	183	CUNEIFORM SIGN UD
DÉ	𒌣	1.000	182	182	CUNEIFORM SIGN UMUM
šer	𒋓	1.000	180	180	CUNEIFORM SIGN SHIR
mur	𒄯	0.994	178	179	CUNEIFORM SIGN HI TIMES ASH2
NUN	𒉣	0.994	178	179	CUNEIFORM SIGN NUN
PUR	𒁓	1.000	175	175	CUNEIFORM SIGN BUR
TE	𒋼	0.994	174	175	CUNEIFORM SIGN TE
WA	𒉿	0.994	173	174	CUNEIFORM SIGN PI
KIRI₆	𒊬	1.000	174	174	CUNEIFORM SIGN SAR
ig	𒅅	1.000	173	173	CUNEIFORM SIGN IG
ina	𒀸	1.000	170	170	CUNEIFORM SIGN ASH
PAL	𒁄	0.988	167	169	CUNEIFORM SIGN BAL
ÚŠ	𒁁	1.000	168	168	CUNEIFORM SIGN BAD
ḪAT	𒉺	1.000	166	166	CUNEIFORM SIGN PA
túl	𒇥	1.000	165	165	CUNEIFORM SIGN LAGAB TIMES U
GÍR	𒄈	0.994	164	165	CUNEIFORM SIGN GIR2
MAŠ	𒈦	1.000	165	165	CUNEIFORM SIGN MASH
QÍ	𒆠	1.000	161	161	CUNEIFORM SIGN KI
